learner_key,study_schedule,risk_score_rule,selected,contacted,reached,consultation_completed,assigned_action,contact_channel,future_on_time_rate,final_score
S051,evening,0.4852,TRUE,TRUE,FALSE,FALSE,individual_consultation,daytime_video_call,0.667,80
S001,daytime,0.4683,TRUE,TRUE,TRUE,TRUE,individual_consultation,daytime_video_call,0.667,64
S058,daytime,0.4683,TRUE,TRUE,TRUE,TRUE,individual_consultation,daytime_video_call,0.667,81
S041,daytime,0.4664,TRUE,TRUE,TRUE,TRUE,individual_consultation,daytime_video_call,0.667,77
S021,evening,0.4604,TRUE,TRUE,FALSE,FALSE,individual_consultation,daytime_video_call,0.667,79
S031,daytime,0.4514,TRUE,TRUE,TRUE,TRUE,individual_consultation,daytime_video_call,0.667,82
S013,daytime,0.446,TRUE,TRUE,TRUE,TRUE,individual_consultation,daytime_video_call,0,55
S028,daytime,0.4436,TRUE,TRUE,TRUE,TRUE,individual_consultation,daytime_video_call,0.667,80
S018,evening,0.4424,TRUE,TRUE,FALSE,FALSE,individual_consultation,daytime_video_call,0.667,68
S026,daytime,0.4399,TRUE,TRUE,TRUE,TRUE,individual_consultation,daytime_video_call,0,56
S048,evening,0.4357,TRUE,TRUE,TRUE,FALSE,individual_consultation,daytime_video_call,0.667,78
S038,daytime,0.4346,TRUE,TRUE,TRUE,TRUE,individual_consultation,daytime_video_call,0.667,83
S008,daytime,0.4237,TRUE,TRUE,TRUE,TRUE,individual_consultation,daytime_video_call,0.667,65
S003,evening,0.3412,TRUE,TRUE,FALSE,FALSE,individual_consultation,daytime_video_call,0.333,78
S037,daytime,0.3393,TRUE,TRUE,TRUE,TRUE,individual_consultation,daytime_video_call,1,74
S027,evening,0.3382,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,1,79
S034,daytime,0.3213,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,1,80
S017,daytime,0.3194,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,1,76
S057,evening,0.3144,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,1,72
S054,evening,0.3134,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,1,78
S007,daytime,0.3044,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,1,81
S006,evening,0.3024,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,0.333,76
S023,daytime,0.3024,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,0.333,76
S047,daytime,0.2994,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,1,77
S004,daytime,0.2966,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,1,79
S039,evening,0.2958,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,0.333,53
S046,daytime,0.2943,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,0.333,72
S043,daytime,0.2914,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,0.333,74
S053,daytime,0.2894,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,0.333,69
S052,daytime,0.289,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,0.333,46
S024,evening,0.2887,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,1,77
S014,daytime,0.2876,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,1,82
S016,daytime,0.2866,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,0.333,71
S056,daytime,0.2677,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,0.333,67
S036,evening,0.2617,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,0.333,69
S044,daytime,0.1781,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,1,87
S010,daytime,0.1743,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,1,79
S055,daytime,0.168,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,1,95
S025,daytime,0.1653,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,1,65
S015,evening,0.1642,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,1,70
S049,daytime,0.1623,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,1,66
S045,evening,0.1574,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,1,80
S033,evening,0.1561,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,1,83
S009,evening,0.1534,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,1,70
S022,daytime,0.153,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,1,83
S011,daytime,0.1511,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,1,96
S040,daytime,0.1506,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,1,72
S030,evening,0.1494,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,1,77
S020,daytime,0.1477,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,1,74
S005,daytime,0.1454,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,1,67
S029,daytime,0.1424,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,1,68
S035,daytime,0.1424,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,1,68
S042,evening,0.1394,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,1,69
S059,daytime,0.1394,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,1,69
S019,daytime,0.1274,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,1,73
S060,evening,0.1257,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,1,70
S050,daytime,0.1246,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,1,75
S032,daytime,0.1207,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,1,66
S012,evening,0.1147,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,1,68
S002,daytime,0.1136,FALSE,FALSE,FALSE,FALSE,universal_resources,course_announcement,1,73
