learner_key,study_schedule,prior_lms_experience,week,event_count,active_days,material_views,quiz_attempts,assignments_due,assignments_submitted,assignments_on_time,late_submissions,avg_score,forum_posts,support_request
S001,daytime,low,1,31,4,14,3,1,1,0,1,71,3,0
S001,daytime,low,2,22,4,10,1,1,1,1,0,73,1,0
S001,daytime,low,3,31,4,14,2,1,1,0,1,71,3,0
S001,daytime,low,4,28,5,13,3,1,1,1,0,77,1,0
S001,daytime,low,5,34,5,15,1,1,1,0,1,79,3,0
S001,daytime,low,6,22,4,10,2,1,1,1,0,64,1,0
S002,daytime,high,1,23,4,10,1,1,1,1,0,80,0,0
S002,daytime,high,2,26,4,12,2,1,1,1,0,82,2,0
S002,daytime,high,3,35,6,16,3,1,1,1,0,80,0,0
S002,daytime,high,4,20,3,9,1,1,1,1,0,69,2,0
S002,daytime,high,5,26,5,12,2,1,1,1,0,71,0,0
S002,daytime,high,6,26,4,12,3,1,1,1,0,73,2,0
S003,evening,high,1,18,3,8,2,1,1,1,0,68,1,0
S003,evening,high,2,21,4,9,3,1,1,0,1,70,3,0
S003,evening,high,3,30,4,14,1,1,1,1,0,68,1,0
S003,evening,high,4,27,5,12,2,1,0,0,0,74,3,0
S003,evening,high,5,21,3,9,3,1,1,1,0,76,1,0
S003,evening,high,6,21,4,9,1,1,0,0,0,78,3,0
S004,daytime,low,1,28,5,13,3,1,1,1,0,69,2,0
S004,daytime,low,2,31,4,14,1,1,1,1,0,71,0,0
S004,daytime,low,3,28,5,13,2,1,1,0,1,69,2,0
S004,daytime,low,4,25,4,11,3,1,1,1,0,75,0,0
S004,daytime,low,5,31,5,14,1,1,1,1,0,77,2,0
S004,daytime,low,6,31,4,14,2,1,1,1,0,79,0,0
S005,daytime,low,1,23,3,10,1,1,1,1,0,74,3,0
S005,daytime,low,2,26,5,12,2,1,1,1,0,76,1,0
S005,daytime,low,3,35,5,16,3,1,1,1,0,74,3,0
S005,daytime,low,4,32,6,14,1,1,1,1,0,80,1,0
S005,daytime,low,5,26,4,12,2,1,1,1,0,65,3,0
S005,daytime,low,6,26,5,12,3,1,1,1,0,67,1,1
S006,evening,high,1,27,5,12,2,1,1,1,0,83,0,0
S006,evening,high,2,18,3,8,3,1,1,0,1,68,2,0
S006,evening,high,3,27,5,12,1,1,1,1,0,66,0,0
S006,evening,high,4,24,4,11,2,1,1,0,1,72,2,0
S006,evening,high,5,30,5,14,3,1,1,1,0,74,0,0
S006,evening,high,6,18,3,8,1,1,1,0,1,76,2,0
S007,daytime,high,1,22,3,10,3,1,1,1,0,71,1,0
S007,daytime,high,2,25,5,11,1,1,1,1,0,73,3,0
S007,daytime,high,3,34,5,15,2,1,1,0,1,71,1,0
S007,daytime,high,4,19,4,9,3,1,1,1,0,77,3,0
S007,daytime,high,5,25,4,11,1,1,1,1,0,79,1,1
S007,daytime,high,6,25,5,11,2,1,1,1,0,81,3,0
S008,daytime,low,1,32,6,14,1,1,1,0,1,72,2,0
S008,daytime,low,2,23,3,10,2,1,1,1,0,74,0,0
S008,daytime,low,3,32,6,14,3,1,1,0,1,72,2,0
S008,daytime,low,4,29,4,13,1,1,1,1,0,78,0,0
S008,daytime,low,5,35,6,16,2,1,0,0,0,80,2,0
S008,daytime,low,6,23,3,10,3,1,1,1,0,65,0,0
S009,evening,low,1,27,4,12,2,1,1,1,0,77,3,0
S009,evening,low,2,30,5,14,3,1,1,1,0,79,1,0
S009,evening,low,3,27,4,12,1,1,1,1,0,60,3,0
S009,evening,low,4,24,5,11,2,1,1,1,0,66,1,1
S009,evening,low,5,30,4,14,3,1,1,1,0,68,3,0
S009,evening,low,6,30,5,14,1,1,1,1,0,70,1,0
S010,daytime,high,1,19,4,9,3,1,1,1,0,69,0,0
S010,daytime,high,2,22,3,10,1,1,1,1,0,71,2,0
S010,daytime,high,3,31,5,14,2,1,1,1,0,69,0,0
S010,daytime,high,4,28,4,13,3,1,1,1,0,75,2,0
S010,daytime,high,5,22,4,10,1,1,1,1,0,77,0,0
S010,daytime,high,6,22,3,10,2,1,1,1,0,79,2,0
S011,daytime,high,1,16,3,7,1,1,1,1,0,86,1,0
S011,daytime,high,2,19,4,9,2,1,1,1,0,88,3,0
S011,daytime,high,3,16,3,7,3,1,1,1,0,86,1,1
S011,daytime,high,4,13,3,6,1,1,1,1,0,92,3,0
S011,daytime,high,5,19,3,9,2,1,1,1,0,94,1,0
S011,daytime,high,6,19,4,9,3,1,1,1,0,96,3,0
S012,evening,low,1,24,5,11,2,1,1,1,0,75,2,0
S012,evening,low,2,27,4,12,3,1,1,1,0,77,0,0
S012,evening,low,3,36,6,16,1,1,1,1,0,75,2,0
S012,evening,low,4,21,3,9,2,1,1,1,0,64,0,0
S012,evening,low,5,27,5,12,3,1,1,1,0,66,2,0
S012,evening,low,6,27,4,12,1,1,1,1,0,68,0,0
S013,daytime,low,1,43,6,19,3,1,1,1,0,62,3,0
S013,daytime,low,2,34,6,15,1,1,1,0,1,47,1,1
S013,daytime,low,3,43,6,19,2,1,1,0,1,45,3,1
S013,daytime,low,4,40,6,18,3,1,0,0,0,51,1,1
S013,daytime,low,5,46,6,21,1,1,1,0,1,53,3,1
S013,daytime,low,6,34,6,15,2,1,0,0,0,55,1,1
S014,daytime,high,1,23,4,10,1,1,1,1,0,72,0,0
S014,daytime,high,2,26,4,12,2,1,1,1,0,74,2,0
S014,daytime,high,3,35,6,16,3,1,1,0,1,72,0,0
S014,daytime,high,4,20,3,9,1,1,1,1,0,78,2,0
S014,daytime,high,5,26,5,12,2,1,1,1,0,80,0,0
S014,daytime,high,6,26,4,12,3,1,1,1,0,82,2,0
S015,evening,high,1,18,3,8,2,1,1,1,0,77,1,1
S015,evening,high,2,21,4,9,3,1,1,1,0,79,3,0
S015,evening,high,3,30,4,14,1,1,1,1,0,77,1,0
S015,evening,high,4,27,5,12,2,1,1,1,0,83,3,0
S015,evening,high,5,21,3,9,3,1,1,1,0,68,1,0
S015,evening,high,6,21,4,9,1,1,1,1,0,70,3,0
S016,daytime,low,1,28,5,13,3,1,1,1,0,78,2,0
S016,daytime,low,2,31,4,14,1,1,1,0,1,80,0,0
S016,daytime,low,3,28,5,13,2,1,1,1,0,61,2,0
S016,daytime,low,4,25,4,11,3,1,1,0,1,67,0,0
S016,daytime,low,5,31,5,14,1,1,1,1,0,69,2,0
S016,daytime,low,6,31,4,14,2,1,1,0,1,71,0,0
S017,daytime,low,1,23,3,10,1,1,1,1,0,66,3,0
S017,daytime,low,2,26,5,12,2,1,1,1,0,68,1,0
S017,daytime,low,3,35,5,16,3,1,1,0,1,66,3,0
S017,daytime,low,4,32,6,14,1,1,1,1,0,72,1,0
S017,daytime,low,5,26,4,12,2,1,1,1,0,74,3,0
S017,daytime,low,6,26,5,12,3,1,1,1,0,76,1,0
S018,evening,high,1,27,5,12,2,1,1,0,1,75,0,0
S018,evening,high,2,18,3,8,3,1,1,1,0,77,2,0
S018,evening,high,3,27,5,12,1,1,1,0,1,75,0,0
S018,evening,high,4,24,4,11,2,1,1,1,0,81,2,0
S018,evening,high,5,30,5,14,3,1,0,0,0,83,0,0
S018,evening,high,6,18,3,8,1,1,1,1,0,68,2,0
S019,daytime,high,1,22,3,10,3,1,1,1,0,80,1,0
S019,daytime,high,2,25,5,11,1,1,1,1,0,82,3,0
S019,daytime,high,3,34,5,15,2,1,1,1,0,80,1,0
S019,daytime,high,4,19,4,9,3,1,1,1,0,69,3,0
S019,daytime,high,5,25,4,11,1,1,1,1,0,71,1,0
S019,daytime,high,6,25,5,11,2,1,1,1,0,73,3,0
S020,daytime,low,1,32,6,14,1,1,1,1,0,64,2,0
S020,daytime,low,2,23,3,10,2,1,1,1,0,66,0,0
S020,daytime,low,3,32,6,14,3,1,1,1,0,64,2,0
S020,daytime,low,4,29,4,13,1,1,1,1,0,70,0,0
S020,daytime,low,5,35,6,16,2,1,1,1,0,72,2,0
S020,daytime,low,6,23,3,10,3,1,1,1,0,74,0,0
S021,evening,low,1,27,4,12,2,1,1,0,1,69,3,0
S021,evening,low,2,30,5,14,3,1,1,1,0,71,1,0
S021,evening,low,3,27,4,12,1,1,1,0,1,69,3,0
S021,evening,low,4,24,5,11,2,1,1,1,0,75,1,0
S021,evening,low,5,30,4,14,3,1,1,0,1,77,3,0
S021,evening,low,6,30,5,14,1,1,1,1,0,79,1,0
S022,daytime,high,1,9,3,4,3,1,1,1,0,90,0,0
S022,daytime,high,2,12,2,5,1,1,1,1,0,92,2,0
S022,daytime,high,3,21,4,9,2,1,1,1,0,90,0,0
S022,daytime,high,4,18,3,8,3,1,1,1,0,96,2,0
S022,daytime,high,5,12,3,5,1,1,1,1,0,81,0,0
S022,daytime,high,6,12,2,5,2,1,1,1,0,83,2,1
S023,daytime,high,1,26,4,12,1,1,1,1,0,83,1,0
S023,daytime,high,2,29,5,13,2,1,1,0,1,68,3,0
S023,daytime,high,3,26,4,12,3,1,1,1,0,66,1,0
S023,daytime,high,4,23,4,10,1,1,0,0,0,72,3,0
S023,daytime,high,5,29,4,13,2,1,1,1,0,74,1,0
S023,daytime,high,6,29,5,13,3,1,0,0,0,76,3,0
S024,evening,low,1,24,5,11,2,1,1,1,0,67,2,0
S024,evening,low,2,27,4,12,3,1,1,1,0,69,0,0
S024,evening,low,3,36,6,16,1,1,1,0,1,67,2,0
S024,evening,low,4,21,3,9,2,1,1,1,0,73,0,0
S024,evening,low,5,27,5,12,3,1,1,1,0,75,2,1
S024,evening,low,6,27,4,12,1,1,1,1,0,77,0,0
S025,daytime,low,1,31,4,14,3,1,1,1,0,72,3,0
S025,daytime,low,2,22,4,10,1,1,1,1,0,74,1,0
S025,daytime,low,3,31,4,14,2,1,1,1,0,72,3,0
S025,daytime,low,4,28,5,13,3,1,1,1,0,78,1,0
S025,daytime,low,5,34,5,15,1,1,1,1,0,80,3,0
S025,daytime,low,6,22,4,10,2,1,1,1,0,65,1,0
S026,daytime,high,1,35,6,16,1,1,1,1,0,63,0,0
S026,daytime,high,2,38,5,17,2,1,1,0,1,65,2,1
S026,daytime,high,3,47,6,21,3,1,1,0,1,46,0,1
S026,daytime,high,4,32,5,14,1,1,1,0,1,52,2,1
S026,daytime,high,5,38,6,17,2,1,1,0,1,54,0,1
S026,daytime,high,6,38,5,17,3,1,1,0,1,56,2,1
S027,evening,high,1,18,3,8,2,1,1,1,0,69,1,0
S027,evening,high,2,21,4,9,3,1,1,1,0,71,3,0
S027,evening,high,3,30,4,14,1,1,1,0,1,69,1,0
S027,evening,high,4,27,5,12,2,1,1,1,0,75,3,0
S027,evening,high,5,21,3,9,3,1,1,1,0,77,1,0
S027,evening,high,6,21,4,9,1,1,1,1,0,79,3,0
S028,daytime,low,1,28,5,13,3,1,1,0,1,70,2,0
S028,daytime,low,2,31,4,14,1,1,1,1,0,72,0,0
S028,daytime,low,3,28,5,13,2,1,1,0,1,70,2,1
S028,daytime,low,4,25,4,11,3,1,1,1,0,76,0,0
S028,daytime,low,5,31,5,14,1,1,0,0,0,78,2,0
